KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
53352311,0,,,90,42,48,17,6,11,73,36,37,55,27,28,72,36,36,72,36,36,18,9,9,9,4,5,4,3,1,0,0,0,3,3,0,38,38,16,7,6,5,2,2,0,22,18,4,3,15,4,6,1
53352312,0,,,39,21,18,4,4,0,35,17,18,16,9,7,34,16,18,34,16,18,19,8,11,15,8,7,5,2,3,1,0,1,1,0,1,14,14,2,9,0,0,1,0,2,12,9,3,1,11,0,1,5
53352315,2,53352305,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352316,2,53352306,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352318,0,,,27,13,14,0,0,0,27,13,14,13,7,6,27,13,14,26,12,14,14,6,8,4,1,3,1,0,1,0,0,0,0,0,0,10,10,3,3,1,1,1,1,0,7,6,1,0,8,0,2,1
53352319,2,53352329,,12,5,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352320,2,53352321,,13,7,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352321,1,,53352320;53352331,141,71,70,12,7,5,147,73,74,76,39,37,140,70,70,137,68,69,71,34,37,33,12,21,19,7,12,1,1,0,0,0,0,53,53,7,21,14,8,6,1,0,50,36,14,2,45,0,7,12
53352322,0,,,68,30,38,5,3,2,63,27,36,30,17,13,63,27,36,62,26,36,33,10,23,24,6,18,9,2,7,0,0,0,0,0,0,33,33,10,14,7,1,1,0,0,21,17,4,1,25,0,10,8
53352323,0,,,21,10,11,2,1,1,19,9,10,8,4,4,17,8,9,16,7,9,11,5,6,5,1,4,1,0,1,0,0,0,0,0,0,9,9,3,3,1,1,1,0,0,6,4,2,1,8,0,3,2
53352326,0,,,61,33,28,9,6,3,52,27,25,34,18,16,52,27,25,52,27,25,18,9,9,11,3,8,2,0,2,0,0,0,1,0,1,23,23,6,6,7,1,2,0,1,17,12,5,2,14,0,1,1
53352327,1,,53352328,64,36,28,8,4,4,66,36,30,26,17,9,66,36,30,66,36,30,40,19,21,20,9,11,6,2,4,1,0,1,0,0,0,26,26,10,8,5,2,1,1,2,19,12,7,3,25,0,7,5
53352328,2,53352327,,11,5,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352329,1,,53352319,54,28,26,8,5,3,58,28,30,32,16,16,57,28,29,57,28,29,26,12,14,13,5,8,6,2,4,0,0,0,0,0,0,20,20,5,7,7,1,1,0,2,18,9,9,2,17,0,2,1
53352330,1,,53352341,16,5,11,2,1,1,17,6,11,11,4,7,15,6,9,15,6,9,6,2,4,2,0,2,0,0,0,0,0,0,0,0,0,7,7,4,3,0,1,1,0,0,5,4,1,0,5,0,1,1
53352331,2,53352321,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53352332,0,,,16,8,8,0,0,0,16,8,8,8,5,3,16,8,8,16,8,8,8,3,5,7,3,4,2,0,2,0,0,0,0,0,0,9,9,4,4,0,1,0,0,0,5,5,0,0,5,0,2,3
