name,description,latitude,longitude,color
まこと亭,とんかつ,35.84026488,139.9618076,red
にえもん,うなぎ,35.84221306,139.9568294,blue 
魚問屋　魚一商店,居酒屋、魚,35.84903133,139.9540828,green
キッチンホーリー,洋食,35.84402205,139.9533962,purple
かしわ家,そば,35.84096066,139.9623225,orange
食堂果樹,カフェ、カレー,35.82996654,139.9642108,gray
うどん市,うどん,35.8398474,139.947388,black
大阪屋,定食屋,35.82317179,139.9491351,pink
塩梅,とんかつ・ビフテキ,35.86728202,139.9668162,beige
ぶぶちゃん,韓国料理,35.82762567,139.963898,white
