KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
53386301,0,,,491,232,259,56,34,22,435,198,237,271,129,142,410,187,223,164,69,95,79,32,47,2,0,2,189,189,33,73,39,29,11,4,0,156,131,25,11,108,1,22,41
53386302,0,,,472,242,230,79,51,28,393,191,202,244,122,122,376,180,196,149,69,80,67,29,38,2,0,2,176,176,33,71,26,25,11,6,4,142,118,24,23,105,0,23,33
53386303,0,,,309,146,163,35,14,21,274,132,142,167,82,85,258,123,135,107,50,57,56,23,33,1,0,1,123,123,24,52,20,16,9,2,0,99,83,16,8,70,0,14,27
53386304,0,,,371,186,185,42,20,22,329,166,163,210,110,100,308,155,153,119,56,63,53,23,30,2,0,2,127,126,25,39,25,19,5,9,4,101,77,24,9,81,0,15,22
53386305,0,,,48,25,23,3,3,0,45,22,23,20,14,6,45,22,23,25,8,17,7,3,4,0,0,0,26,26,10,11,4,1,0,0,0,16,15,1,2,17,0,7,7
53386307,0,,,38,13,25,0,0,0,38,13,25,12,2,10,38,13,25,26,11,15,10,2,8,0,0,0,19,19,5,9,5,0,0,0,0,14,12,2,0,17,0,3,7
53386308,0,,,76,41,35,5,4,1,71,37,34,32,19,13,70,36,34,39,18,21,29,12,17,1,0,1,36,36,13,11,9,1,2,0,0,23,17,6,0,28,0,12,6
53386309,0,,,57,29,28,1,1,0,56,28,28,24,16,8,55,28,27,32,12,20,25,8,17,1,0,1,31,31,15,10,3,2,1,0,0,16,10,6,1,22,1,9,5
53386310,0,,,221,108,113,23,12,11,198,96,102,126,65,61,189,91,98,72,31,41,43,16,27,0,0,0,79,79,16,23,19,13,3,3,2,63,50,13,4,52,1,10,13
53386311,0,,,255,126,129,20,11,9,235,115,120,141,71,70,220,105,115,94,44,50,38,15,23,12,9,3,110,110,31,38,27,6,6,1,1,79,66,13,7,60,7,8,23
53386312,0,,,194,96,98,20,11,9,174,85,89,93,48,45,168,83,85,81,37,44,31,14,17,3,0,3,77,77,17,34,12,5,4,3,2,60,50,10,4,54,1,12,18
53386313,0,,,410,196,214,54,25,29,356,171,185,240,122,118,332,157,175,116,49,67,61,19,42,3,1,2,171,171,66,40,19,33,8,3,2,105,86,19,10,89,1,38,22
53386314,0,,,155,75,80,11,5,6,143,69,74,80,41,39,140,68,72,63,28,35,34,11,23,0,0,0,82,82,35,28,12,7,0,0,0,47,42,5,5,47,0,23,13
53386315,0,,,131,61,70,3,1,2,128,60,68,60,31,29,121,55,66,68,29,39,49,21,28,0,0,0,56,56,13,26,7,6,3,1,0,43,35,8,1,45,0,11,14
53386316,0,,,72,37,35,2,2,0,70,35,35,30,17,13,69,34,35,40,18,22,27,10,17,0,0,0,29,29,7,10,6,3,3,0,0,22,14,8,1,25,0,5,7
53386319,0,,,55,25,30,4,3,1,51,22,29,19,9,10,51,22,29,32,13,19,23,9,14,0,0,0,29,29,13,9,6,0,0,1,0,16,13,3,2,22,0,10,6
