pop,ISO3
1170,MDV
1770,MEX
749,MHL
868,MKD
847,MLI
1080,MLT
1110,MMR
1450,MNE
597,MNG
501,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
727,NAM
637,NER
1150,NGA
1350,NIC
6020,NLD
1870,NOR
890,NPL
769,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1390,PER
1290,PHL
1160,PLW
758,PNG
1190,POL
1060,
1960,PRT
1080,PRY
1190,
1530,QAT
576,ROU
1940,RUS
604,RWA
1090,SAU
684,SDN
691,SEN
1120,SGP
504,SLB
1010,SLE
1210,SLV
1950,SMR
965,SOM
1790,SRB
705,SSD
1080,STP
2270,SUR
1740,
2140,SVN
1970,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
775,TJK
1320,TKM
726,TLS
920,TON
1720,TTO
948,TUN
1330,TUR
998,TUV
1340,TWN
592,TZA
662,UGA
1060,UKR
2570,URY
3660,USA
743,UZB
1160,VCT
1470,VEN
1170,VNM
813,VUT
1940,WSM
1230,YEM
2070,ZAF
650,ZMB
1170,ZWE
583,AFG
458,AGO
574,ALB
1670,AND
1400,ARE
2080,ARG
719,ARM
1050,ATG
1010,AUS
2380,AUT
879,AZE
646,BDI
3230,BEL
1010,BEN
727,BFA
935,BGD
1390,BGR
1040,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
438,BWA
593,CAF
1750,CAN
2680,CHE
1180,CHL
1270,CHN
708,
727,CMR
430,
703,
1290,COL
719,COM
597,CPV
1110,CRI
881,CUB
1180,CYP
1980,CZE
2180,DEU
1140,DJI
652,DMA
2490,DNK
791,DOM
929,DZA
635,ECU
1320,EGY
738,ERI
2060,ESP
1940,EST
868,ETH
1700,FIN
1090,FJI
2490,FRA
720,
608,GAB
4510,GBR
944,GEO
921,GHA
527,GIN
966,GMB
596,GNB
443,GNQ
1590,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1120,HRV
880,HTI
1530,HUN
1230,IDN
1420,IND
1630,IRL
1220,IRN
1210,IRQ
1390,ISL
1310,ISR
3500,ITA
1550,JAM
1220,JOR
1830,JPN
1430,KAZ
894,KEN
720,
869,KHM
766,KIR
1620,
1130,KOR
1540,KWT
1030,
1480,LBN
1120,LBR
1250,LBY
784,
1220,LKA
533,LSO
1680,LTU
2190,LUX
1180,LVA
967,MAR
2710,MCO
895,MDA
628,MDG
1170,MDV
1750,MEX
749,MHL
868,MKD
847,MLI
1080,MLT
1110,MMR
1440,MNE
597,MNG
502,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
727,NAM
637,NER
1150,NGA
1350,NIC
5890,NLD
1870,NOR
890,NPL
769,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1370,PER
1290,PHL
1160,PLW
758,PNG
1160,POL
1060,
1980,PRT
1080,PRY
1200,
1540,QAT
