year,pop,ISO3
1801,5800,LIE
1801,1.72M,LKA
1801,276k,LSO
1801,779k,LTU
1801,127k,LUX
1801,591k,LVA
1801,2.51M,MAR
1801,7790,MCO
1801,713k,MDA
1801,1.51M,MDG
1801,42.4k,MDV
1801,5.17M,MEX
1801,5830,MHL
1801,392k,MKD
1801,1.4M,MLI
1801,134k,MLT
1801,5.84M,MMR
1801,127k,MNE
1801,601k,MNG
1801,2M,MOZ
1801,383k,MRT
1801,60.7k,MUS
1801,753k,MWI
1801,287k,MYS
1801,226k,NAM
1801,853k,NER
1801,12.1M,NGA
1801,186k,NIC
1801,2M,NLD
1801,898k,NOR
1801,3.99M,NPL
1801,1830,NRU
1801,193k,NZL
1801,301k,OMN
1801,13.1M,PAK
1801,76.2k,PAN
1801,1.27M,PER
1801,2.44M,PHL
1801,3880,PLW
1801,755k,PNG
1801,9.07M,POL
1801,4.34M,
1801,2.78M,PRT
1801,289k,PRY
1801,166k,
1801,14.1k,QAT
1801,5.54M,ROU
1801,31.3M,RUS
1801,928k,RWA
1801,2M,SAU
1801,4M,SDN
1801,1.01M,SEN
1801,30k,SGP
1801,57k,SLB
1801,794k,SLE
1801,238k,SLV
1801,5490,SMR
1801,989k,SOM
1801,2.15M,SRB
1801,1.03M,SSD
1801,22.7k,STP
1801,80.7k,SUR
1801,2.14M,
1801,470k,SVN
1801,2.49M,SWE
1801,85.5k,SWZ
1801,12.5k,SYC
1801,1.25M,SYR
1801,1.44M,TCD
1801,446k,TGO
1801,3.07M,THA
1801,467k,TJK
1801,367k,TKM
1801,137k,TLS
1801,18.7k,TON
1801,21.1k,TTO
1801,804k,TUN
1801,9.78M,TUR
1801,2500,TUV
1801,2M,TWN
1801,3M,TZA
1801,2.48M,UGA
1801,11.2M,UKR
1801,55k,URY
1801,6.11M,USA
1801,1.92M,UZB
1801,25.8k,VCT
1801,978k,VEN
1801,4.1M,VNM
1801,27.8k,VUT
1801,47.3k,WSM
1801,2.59M,YEM
1801,1.45M,ZAF
1801,758k,ZMB
1801,1.09M,ZWE
1802,3.28M,AFG
1802,1.57M,AGO
1802,404k,ALB
1802,2650,AND
1802,40.2k,ARE
1802,506k,ARG
1802,413k,ARM
1802,37k,ATG
1802,211k,AUS
1802,3.04M,AUT
1802,880k,AZE
1802,899k,BDI
1802,3.27M,BEL
1802,637k,BEN
1802,1.67M,BFA
1802,19.3M,BGD
1802,2.24M,BGR
1802,64.5k,BHR
1802,27.4k,BHS
1802,852k,BIH
1802,2.36M,BLR
1802,25.5k,BLZ
1802,906k,BOL
1802,2.65M,BRA
1802,81.7k,BRB
1802,2260,BRN
1802,392k,BTN
1802,120k,BWA
1802,479k,CAF
1802,525k,CAN
1802,1.77M,CHE
1802,771k,CHL
1802,333M,CHN
1802,1.09M,
1802,1.86M,CMR
1802,5.16M,
1802,314k,
1802,1.21M,COL
1802,56.3k,COM
1802,55.7k,CPV
1802,53.9k,CRI
1802,316k,CUB
1802,184k,CYP
1802,5.52M,CZE
1802,18.6M,DEU
1802,22.8k,DJI
1802,19.9k,DMA
