year,gdp,ISO3
1801,533,LSO
1801,1670,LTU
1801,2190,LUX
1801,1180,LVA
1801,966,MAR
1801,2710,MCO
1801,895,MDA
1801,628,MDG
1801,1170,MDV
1801,1800,MEX
1801,748,MHL
1801,868,MKD
1801,847,MLI
1801,1080,MLT
1801,1110,MMR
1801,1460,MNE
1801,597,MNG
1801,500,MOZ
1801,652,MRT
1801,1440,MUS
1801,530,MWI
1801,1330,MYS
1801,727,NAM
1801,637,NER
1801,1150,NGA
1801,1350,NIC
1801,5700,NLD
1801,1860,NOR
1801,890,NPL
1801,769,NRU
1801,1140,NZL
1801,490,OMN
1801,1300,PAK
1801,1110,PAN
1801,1390,PER
1801,1290,PHL
1801,1160,PLW
1801,758,PNG
1801,1220,POL
1801,1070,
1801,1930,PRT
1801,1080,PRY
1801,1190,
1801,1530,QAT
1801,576,ROU
1801,1940,RUS
1801,602,RWA
1801,1090,SAU
1801,684,SDN
1801,690,SEN
1801,1120,SGP
1801,504,SLB
1801,1010,SLE
1801,1210,SLV
1801,1950,SMR
1801,963,SOM
1801,1790,SRB
1801,705,SSD
1801,1080,STP
1801,2270,SUR
1801,1740,
1801,2140,SVN
1801,1880,SWE
1801,644,SWZ
1801,1100,SYC
1801,1500,SYR
1801,504,TCD
1801,913,TGO
1801,1260,THA
1801,774,TJK
1801,1310,TKM
1801,724,TLS
1801,920,TON
1801,1710,TTO
1801,947,TUN
1801,1330,TUR
1801,998,TUV
1801,1340,TWN
1801,592,TZA
1801,662,UGA
1801,1060,UKR
1801,2560,URY
1801,3600,USA
1801,743,UZB
1801,1160,VCT
1801,1480,VEN
1801,1170,VNM
1801,813,VUT
1801,1940,WSM
1801,1230,YEM
1801,2100,ZAF
1801,648,ZMB
1801,1170,ZWE
1802,583,AFG
1802,456,AGO
1802,572,ALB
1802,1670,AND
1802,1390,ARE
1802,2070,ARG
1802,717,ARM
1802,1050,ATG
1802,1010,AUS
1802,2370,AUT
1802,879,AZE
1802,646,BDI
1802,3230,BEL
1802,1010,BEN
1802,725,BFA
1802,935,BGD
1802,1390,BGR
1802,1040,BHR
1802,2010,BHS
1802,1200,BIH
1802,1110,BLR
1802,804,BLZ
1802,1120,BOL
1802,1200,BRA
1802,1590,BRB
1802,2100,BRN
1802,874,BTN
1802,437,BWA
1802,593,CAF
1802,1740,CAN
1802,2660,CHE
1802,1180,CHL
1802,1280,CHN
1802,708,
1802,725,CMR
1802,430,
1802,700,
1802,1290,COL
1802,719,COM
1802,597,CPV
1802,1110,CRI
1802,873,CUB
1802,1180,CYP
1802,1980,CZE
1802,2180,DEU
1802,1140,DJI
1802,652,DMA
1802,2490,DNK
1802,791,DOM
1802,927,DZA
1802,635,ECU
1802,1320,EGY
1802,738,ERI
1802,2060,ESP
1802,1940,EST
1802,868,ETH
1802,1700,FIN
1802,1090,FJI
1802,2490,FRA
1802,719,
1802,608,GAB
1802,4660,GBR
1802,944,GEO
1802,921,GHA
1802,527,GIN
1802,966,GMB
1802,596,GNB
1802,443,GNQ
1802,1580,GRC
1802,1330,GRD
1802,1240,GTM
1802,1680,GUY
1802,1650,
1802,895,HND
1802,1110,HRV
1802,880,HTI
1802,1530,HUN
1802,1240,IDN
1802,1430,IND
1802,1620,IRL
1802,1220,IRN
1802,1210,IRQ
1802,1390,ISL
1802,1310,ISR
1802,3400,ITA
1802,1550,JAM
1802,1220,JOR
1802,1830,JPN
1802,1430,KAZ
1802,894,KEN
1802,715,
1802,869,KHM
1802,766,KIR
1802,1620,
1802,1130,KOR
1802,1530,KWT
1802,1030,
1802,1480,LBN
1802,1120,LBR
1802,1250,LBY
1802,784,
1802,1220,LKA
1802,533,LSO
1802,1680,LTU
1802,2190,LUX
1802,1180,LVA
1802,967,MAR
1802,2710,MCO
1802,895,MDA
1802,628,MDG
1802,1170,MDV
1802,1770,MEX
1802,749,MHL
1802,868,MKD
1802,847,MLI
1802,1080,MLT
1802,1110,MMR
1802,1450,MNE
1802,597,MNG
1802,501,MOZ
1802,652,MRT
1802,1440,MUS
1802,530,MWI
1802,1330,MYS
1802,727,NAM
1802,637,NER
1802,1150,NGA
1802,1350,NIC
1802,6020,NLD
1802,1870,NOR
1802,890,NPL
1802,769,NRU
1802,1140,NZL
1802,490,OMN
1802,1300,PAK
1802,1110,PAN
1802,1390,PER
1802,1290,PHL
1802,1160,PLW
1802,758,PNG
1802,1190,POL
1802,1060,
1802,1960,PRT
1802,1080,PRY
1802,1190,
1802,1530,QAT
1802,576,ROU
1802,1940,RUS
1802,604,RWA
1802,1090,SAU
1802,684,SDN
1802,691,SEN
1802,1120,SGP
1802,504,SLB
1802,1010,SLE
1802,1210,SLV
1802,1950,SMR
1802,965,SOM
1802,1790,SRB
1802,705,SSD
1802,1080,STP
1802,2270,SUR
1802,1740,
1802,2140,SVN
1802,1970,SWE
1802,644,SWZ
1802,1100,SYC
1802,1500,SYR
1802,504,TCD
1802,913,TGO
1802,1260,THA
1802,775,TJK
1802,1320,TKM
1802,726,TLS
1802,920,TON
1802,1720,TTO
1802,948,TUN
1802,1330,TUR
1802,998,TUV
1802,1340,TWN
1802,592,TZA
1802,662,UGA
1802,1060,UKR
1802,2570,URY
1802,3660,USA
1802,743,UZB
1802,1160,VCT
1802,1470,VEN
1802,1170,VNM
1802,813,VUT
1802,1940,WSM
1802,1230,YEM
1802,2070,ZAF
1802,650,ZMB
1802,1170,ZWE
1803,583,AFG
1803,458,AGO
1803,574,ALB
1803,1670,AND
1803,1400,ARE
1803,2080,ARG
1803,719,ARM
1803,1050,ATG
1803,1010,AUS
1803,2380,AUT
1803,879,AZE
1803,646,BDI
1803,3230,BEL
1803,1010,BEN
1803,727,BFA
1803,935,BGD
1803,1390,BGR
1803,1040,BHR
1803,2010,BHS
1803,1200,BIH
1803,1110,BLR
1803,804,BLZ
1803,1120,BOL
1803,1200,BRA
1803,1590,BRB
1803,2100,BRN
1803,874,BTN
1803,438,BWA
1803,593,CAF
1803,1750,CAN
1803,2680,CHE
1803,1180,CHL
1803,1270,CHN
1803,708,
1803,727,CMR
1803,430,
1803,703,
1803,1290,COL
1803,719,COM
1803,597,CPV
1803,1110,CRI
1803,881,CUB
1803,1180,CYP
1803,1980,CZE
1803,2180,DEU
1803,1140,DJI
1803,652,DMA
1803,2490,DNK
1803,791,DOM
1803,929,DZA
1803,635,ECU
1803,1320,EGY
1803,738,ERI
1803,2060,ESP
1803,1940,EST
1803,868,ETH
1803,1700,FIN
1803,1090,FJI
1803,2490,FRA
1803,720,
1803,608,GAB
1803,4510,GBR
1803,944,GEO
1803,921,GHA
1803,527,GIN
1803,966,GMB
1803,596,GNB
1803,443,GNQ
1803,1590,GRC
1803,1330,GRD
1803,1240,GTM
1803,1690,GUY
1803,1650,
1803,895,HND
1803,1120,HRV
1803,880,HTI
1803,1530,HUN
1803,1230,IDN
1803,1420,IND
1803,1630,IRL
1803,1220,IRN
1803,1210,IRQ
1803,1390,ISL
1803,1310,ISR
1803,3500,ITA
1803,1550,JAM
1803,1220,JOR
1803,1830,JPN
1803,1430,KAZ
1803,894,KEN
1803,720,
1803,869,KHM
1803,766,KIR
1803,1620,
1803,1130,KOR
1803,1540,KWT
1803,1030,
1803,1480,LBN
1803,1120,LBR
1803,1250,LBY
1803,784,
1803,1220,LKA
1803,533,LSO
1803,1680,LTU
1803,2190,LUX
1803,1180,LVA
1803,967,MAR
1803,2710,MCO
1803,895,MDA
1803,628,MDG
1803,1170,MDV
1803,1750,MEX
1803,749,MHL
1803,868,MKD
1803,847,MLI
1803,1080,MLT
1803,1110,MMR
1803,1440,MNE
1803,597,MNG
1803,502,MOZ
1803,652,MRT
1803,1440,MUS
1803,530,MWI
1803,1330,MYS
1803,727,NAM
1803,637,NER
1803,1150,NGA
1803,1350,NIC
1803,5890,NLD
1803,1870,NOR
1803,890,NPL
1803,769,NRU
1803,1140,NZL
1803,490,OMN
1803,1300,PAK
1803,1110,PAN
1803,1370,PER
1803,1290,PHL
1803,1160,PLW
1803,758,PNG
1803,1160,POL
1803,1060,
1803,1980,PRT
1803,1080,PRY
1803,1200,
1803,1540,QAT
1803,576,ROU
1803,1940,RUS
1803,607,RWA
1803,1090,SAU
1803,684,SDN
1803,691,SEN
1803,1120,SGP
1803,504,SLB
1803,1010,SLE
1803,1210,SLV
1803,1960,SMR
1803,966,SOM
1803,1790,SRB
1803,705,SSD
1803,1080,STP
1803,2270,SUR
1803,1740,
1803,2140,SVN
1803,1950,SWE
1803,644,SWZ
1803,1100,SYC
1803,1500,SYR
1803,504,TCD
1803,913,TGO
1803,1260,THA
1803,775,TJK
1803,1320,TKM
1803,727,TLS
1803,920,TON
1803,1720,TTO
1803,948,TUN
1803,1330,TUR
1803,998,TUV
1803,1340,TWN
1803,592,TZA
1803,662,UGA
1803,1070,UKR
1803,2580,URY
1803,3600,USA
1803,743,UZB
1803,1160,VCT
1803,1470,VEN
1803,1170,VNM
1803,813,VUT
1803,1940,WSM
1803,1230,YEM
1803,2050,ZAF
1803,651,ZMB
1803,1170,ZWE
1804,583,AFG
1804,460,AGO
1804,576,ALB
1804,1670,AND
1804,1410,ARE
1804,2090,ARG
1804,721,ARM
1804,1050,ATG
1804,1020,AUS
1804,2390,AUT
1804,879,AZE
1804,647,BDI
1804,3240,BEL
1804,1010,BEN
1804,729,BFA
1804,935,BGD
1804,1390,BGR
1804,1050,BHR
1804,2010,BHS
1804,1200,BIH
1804,1110,BLR
1804,804,BLZ
1804,1120,BOL
1804,1200,BRA
1804,1590,BRB
1804,2100,BRN
1804,874,BTN
1804,440,BWA
1804,593,CAF
1804,1760,CAN
1804,2690,CHE
1804,1180,CHL
1804,1270,CHN
1804,708,
1804,729,CMR
1804,430,
1804,704,
1804,1280,COL
1804,720,COM
1804,597,CPV
1804,1110,CRI
1804,888,CUB
1804,1180,CYP
1804,1980,CZE
1804,2180,DEU
1804,1150,DJI
1804,652,DMA
1804,2500,DNK
1804,791,DOM
1804,930,DZA
1804,635,ECU
1804,1320,EGY
1804,738,ERI
1804,2070,ESP
1804,1940,EST
1804,868,ETH
1804,1710,FIN
1804,1090,FJI
1804,2490,FRA
1804,720,
1804,608,GAB
1804,4450,GBR
1804,944,GEO
1804,923,GHA
1804,527,GIN
1804,967,GMB
1804,596,GNB
1804,443,GNQ
1804,1600,GRC
1804,1330,GRD
1804,1240,GTM
1804,1690,GUY
1804,1650,
1804,895,HND
1804,1130,HRV
1804,880,HTI
1804,1530,HUN
1804,1230,IDN
1804,1410,IND
1804,1640,IRL
1804,1220,IRN
1804,1210,IRQ
1804,1390,ISL
1804,1310,ISR
1804,3650,ITA
1804,1550,JAM
1804,1220,JOR
1804,1830,JPN
1804,1430,KAZ
1804,894,KEN
1804,726,
1804,869,KHM
1804,767,KIR
1804,1620,
1804,1130,KOR
1804,1550,KWT
1804,1030,
1804,1480,LBN
1804,1130,LBR
1804,1250,LBY
1804,784,
1804,1220,LKA
1804,533,LSO
1804,1680,LTU
1804,2190,LUX
1804,1180,LVA
1804,967,MAR
1804,2720,MCO
1804,895,MDA
1804,628,MDG
1804,1170,MDV
1804,1720,MEX
