year,life span,ISO3
1801,36.9,LUX
1801,33.0,LVA
1801,33.1,MAR
1801,,MCO
1801,33.1,MDA
1801,30.5,MDG
1801,32.6,MDV
1801,26.9,MEX
1801,,MHL
1801,36.1,MKD
1801,26.4,MLI
1801,28.7,MLT
1801,30.8,MMR
1801,35.4,MNE
1801,31.8,MNG
1801,30.3,MOZ
1801,32.0,MRT
1801,28.7,MUS
1801,30.3,MWI
1801,30.6,MYS
1801,32.4,NAM
1801,30.8,NER
1801,30.4,NGA
1801,25.4,NIC
1801,39.9,NLD
1801,35.8,NOR
1801,32.8,NPL
1801,,NRU
1801,34.0,NZL
1801,32.3,OMN
1801,25.8,PAK
1801,32.9,PAN
1801,35.7,PER
1801,30.9,PHL
1801,,PLW
1801,31.5,PNG
1801,35.9,POL
1801,26.0,
1801,35.6,PRT
1801,35.5,PRY
1801,32.1,
1801,30.8,QAT
1801,35.7,ROU
1801,29.6,RUS
1801,25.0,RWA
1801,32.1,SAU
1801,31.4,SDN
1801,25.2,SEN
1801,29.1,SGP
1801,25.1,SLB
1801,25.1,SLE
1801,28.7,SLV
1801,,SMR
1801,29.4,SOM
1801,35.5,SRB
1801,26.7,SSD
1801,31.0,STP
1801,32.9,SUR
1801,36.4,
1801,36.6,SVN
1801,36.9,SWE
1801,32.3,SWZ
1801,37.0,SYC
1801,31.1,SYR
1801,30.9,TCD
1801,31.3,TGO
1801,30.4,THA
1801,24.2,TJK
1801,24.0,TKM
1801,28.9,TLS
1801,28.2,TON
1801,32.9,TTO
1801,28.8,TUN
1801,35.0,TUR
1801,,TUV
1801,28.3,TWN
1801,32.2,TZA
1801,25.3,UGA
1801,36.6,UKR
1801,32.9,URY
1801,39.4,USA
1801,26.9,UZB
1801,26.0,VCT
1801,32.2,VEN
1801,32.0,VNM
1801,24.3,VUT
1801,25.4,WSM
1801,23.4,YEM
1801,33.5,ZAF
1801,32.6,ZMB
1801,33.7,ZWE
1802,28.2,AFG
1802,27.0,AGO
1802,35.4,ALB
1802,,AND
1802,30.7,ARE
1802,33.2,ARG
1802,34.0,ARM
1802,33.5,ATG
1802,34.0,AUS
1802,34.4,AUT
1802,29.2,AZE
1802,31.5,BDI
1802,40.0,BEL
1802,31.0,BEN
1802,29.2,BFA
1802,25.5,BGD
1802,35.9,BGR
1802,30.3,BHR
1802,35.2,BHS
1802,35.1,BIH
1802,36.2,BLR
1802,26.5,BLZ
1802,33.0,BOL
1802,32.0,BRA
1802,32.1,BRB
1802,29.2,BRN
1802,28.8,BTN
1802,33.6,BWA
1802,30.0,CAF
1802,39.0,CAN
1802,38.0,CHE
1802,32.0,CHL
1802,32.0,CHN
1802,31.2,
1802,28.8,CMR
1802,31.6,
1802,32.7,
1802,32.0,COL
1802,32.1,COM
1802,33.8,CPV
1802,30.2,CRI
1802,32.5,CUB
1802,38.5,CYP
1802,35.0,CZE
1802,38.4,DEU
1802,29.9,DJI
1802,,DMA
1802,44.4,DNK
1802,29.9,DOM
1802,28.8,DZA
1802,32.9,ECU
1802,33.0,EGY
1802,30.2,ERI
1802,29.5,ESP
1802,35.3,EST
1802,29.7,ETH
1802,39.2,FIN
1802,26.1,FJI
1802,34.4,FRA
1802,26.7,
1802,30.6,GAB
1802,38.6,GBR
1802,31.9,GEO
1802,28.0,GHA
1802,29.5,GIN
1802,28.8,GMB
1802,32.0,GNB
1802,29.8,GNQ
1802,36.6,GRC
1802,31.4,GRD
1802,25.8,GTM
1802,31.1,GUY
1802,34.9,
1802,33.9,HND
1802,36.1,HRV
1802,29.0,HTI
1802,36.0,HUN
1802,30.0,IDN
1802,25.0,IND
1802,38.3,IRL
1802,25.6,IRN
1802,31.2,IRQ
1802,27.6,ISL
1802,32.0,ISR
1802,29.7,ITA
1802,34.2,JAM
1802,31.7,JOR
1802,36.4,JPN
1802,26.2,KAZ
1802,25.5,KEN
1802,23.9,
1802,35.0,KHM
1802,24.9,KIR
1802,,
1802,25.8,KOR
1802,26.0,KWT
1802,31.9,
1802,29.7,LBN
1802,31.1,LBR
1802,33.1,LBY
1802,28.0,
1802,32.6,LKA
1802,32.8,LSO
1802,28.9,LTU
1802,36.9,LUX
1802,33.0,LVA
1802,33.1,MAR
1802,,MCO
1802,33.1,MDA
1802,30.5,MDG
1802,32.6,MDV
1802,26.9,MEX
1802,,MHL
1802,36.1,MKD
1802,26.4,MLI
1802,28.7,MLT
1802,30.8,MMR
1802,35.4,MNE
1802,31.8,MNG
1802,30.3,MOZ
1802,32.0,MRT
1802,28.7,MUS
1802,30.3,MWI
1802,30.6,MYS
1802,32.4,NAM
1802,30.8,NER
1802,30.4,NGA
1802,25.4,NIC
1802,39.9,NLD
1802,38.4,NOR
1802,32.8,NPL
1802,,NRU
1802,34.0,NZL
1802,32.3,OMN
1802,25.8,PAK
1802,32.9,PAN
1802,35.7,PER
1802,30.9,PHL
1802,,PLW
1802,31.5,PNG
1802,35.9,POL
1802,26.0,
1802,35.6,PRT
1802,35.5,PRY
1802,32.1,
1802,30.8,QAT
1802,35.7,ROU
1802,29.6,RUS
1802,25.0,RWA
1802,32.1,SAU
1802,31.4,SDN
1802,25.2,SEN
1802,29.1,SGP
1802,25.1,SLB
1802,25.1,SLE
1802,28.7,SLV
1802,,SMR
1802,29.4,SOM
1802,35.5,SRB
1802,26.7,SSD
1802,31.0,STP
1802,32.9,SUR
1802,36.4,
1802,36.6,SVN
1802,40.2,SWE
1802,32.3,SWZ
1802,37.0,SYC
1802,31.1,SYR
1802,30.9,TCD
1802,31.3,TGO
1802,30.4,THA
1802,24.2,TJK
1802,24.0,TKM
1802,28.9,TLS
1802,28.2,TON
1802,32.9,TTO
1802,28.8,TUN
1802,35.0,TUR
1802,,TUV
1802,28.3,TWN
1802,32.2,TZA
1802,25.3,UGA
1802,36.6,UKR
1802,32.9,URY
1802,39.4,USA
1802,26.9,UZB
1802,26.0,VCT
1802,32.2,VEN
1802,32.0,VNM
1802,24.3,VUT
1802,25.4,WSM
1802,23.4,YEM
1802,33.5,ZAF
1802,32.6,ZMB
1802,33.7,ZWE
1803,28.2,AFG
1803,27.0,AGO
1803,35.4,ALB
1803,,AND
1803,30.7,ARE
1803,33.2,ARG
1803,34.0,ARM
1803,33.5,ATG
1803,34.0,AUS
1803,34.4,AUT
1803,29.2,AZE
1803,31.5,BDI
1803,40.0,BEL
1803,31.0,BEN
1803,29.2,BFA
1803,25.5,BGD
1803,35.9,BGR
1803,30.3,BHR
1803,35.2,BHS
1803,35.1,BIH
1803,36.2,BLR
1803,26.5,BLZ
1803,33.0,BOL
1803,32.0,BRA
1803,32.1,BRB
1803,29.2,BRN
1803,28.8,BTN
1803,33.6,BWA
1803,30.0,CAF
1803,39.0,CAN
1803,38.0,CHE
1803,32.0,CHL
1803,32.0,CHN
1803,31.2,
1803,28.8,CMR
1803,31.6,
1803,32.7,
1803,32.0,COL
1803,32.1,COM
1803,33.8,CPV
1803,30.2,CRI
1803,32.6,CUB
1803,38.5,CYP
1803,35.0,CZE
1803,38.4,DEU
1803,29.9,DJI
1803,,DMA
1803,44.8,DNK
1803,29.9,DOM
1803,28.8,DZA
1803,32.9,ECU
1803,33.0,EGY
1803,30.2,ERI
1803,29.5,ESP
1803,34.8,EST
1803,29.7,ETH
1803,28.5,FIN
1803,26.1,FJI
1803,30.6,FRA
1803,26.7,
1803,30.6,GAB
1803,37.3,GBR
1803,31.9,GEO
1803,28.0,GHA
1803,29.5,GIN
1803,28.8,GMB
1803,32.0,GNB
1803,29.8,GNQ
1803,36.6,GRC
1803,31.4,GRD
1803,25.8,GTM
1803,31.1,GUY
1803,34.9,
1803,33.9,HND
1803,36.1,HRV
1803,29.0,HTI
1803,36.0,HUN
1803,30.0,IDN
1803,24.0,IND
1803,38.3,IRL
1803,25.6,IRN
1803,31.2,IRQ
1803,19.6,ISL
1803,32.0,ISR
1803,29.7,ITA
1803,34.2,JAM
1803,31.7,JOR
1803,36.4,JPN
1803,26.2,KAZ
1803,25.5,KEN
1803,23.9,
1803,35.0,KHM
1803,24.9,KIR
1803,,
1803,25.8,KOR
1803,26.0,KWT
1803,31.9,
1803,29.7,LBN
1803,31.1,LBR
1803,33.1,LBY
1803,28.0,
1803,32.6,LKA
1803,32.8,LSO
1803,28.9,LTU
1803,36.9,LUX
1803,33.0,LVA
1803,33.1,MAR
1803,,MCO
1803,33.1,MDA
1803,30.5,MDG
1803,32.6,MDV
1803,26.9,MEX
1803,,MHL
1803,36.1,MKD
1803,26.4,MLI
1803,28.7,MLT
1803,30.8,MMR
1803,35.4,MNE
1803,31.8,MNG
1803,30.3,MOZ
1803,32.0,MRT
1803,28.7,MUS
1803,30.3,MWI
1803,30.6,MYS
1803,32.4,NAM
1803,30.8,NER
1803,30.4,NGA
1803,25.4,NIC
1803,39.9,NLD
1803,38.7,NOR
1803,32.8,NPL
1803,,NRU
1803,34.0,NZL
1803,32.3,OMN
1803,25.8,PAK
1803,32.9,PAN
1803,35.7,PER
1803,30.9,PHL
1803,,PLW
1803,31.5,PNG
1803,35.9,POL
1803,26.0,
1803,35.6,PRT
1803,35.5,PRY
1803,32.1,
1803,30.8,QAT
1803,35.7,ROU
1803,29.6,RUS
1803,31.8,RWA
1803,32.1,SAU
1803,31.4,SDN
1803,25.2,SEN
1803,29.1,SGP
1803,25.1,SLB
1803,25.1,SLE
1803,28.7,SLV
1803,,SMR
1803,29.4,SOM
1803,35.5,SRB
1803,26.7,SSD
1803,31.0,STP
1803,32.9,SUR
1803,36.4,
1803,36.6,SVN
1803,40.3,SWE
1803,32.3,SWZ
1803,37.0,SYC
1803,31.1,SYR
1803,30.9,TCD
1803,31.3,TGO
1803,30.4,THA
1803,24.2,TJK
1803,24.0,TKM
1803,28.9,TLS
1803,28.2,TON
1803,32.9,TTO
1803,28.8,TUN
1803,35.0,TUR
1803,,TUV
1803,28.3,TWN
1803,32.2,TZA
1803,25.3,UGA
1803,36.6,UKR
1803,32.9,URY
1803,39.4,USA
1803,26.9,UZB
1803,26.0,VCT
1803,32.2,VEN
1803,32.0,VNM
1803,24.3,VUT
1803,25.4,WSM
1803,23.4,YEM
1803,33.5,ZAF
1803,32.6,ZMB
1803,33.7,ZWE
1804,28.2,AFG
1804,27.0,AGO
1804,35.4,ALB
1804,,AND
1804,30.7,ARE
1804,33.2,ARG
1804,34.0,ARM
1804,33.5,ATG
1804,34.0,AUS
1804,34.4,AUT
1804,29.2,AZE
1804,31.5,BDI
1804,40.0,BEL
1804,31.0,BEN
1804,29.2,BFA
1804,25.5,BGD
1804,36.0,BGR
1804,30.3,BHR
1804,35.2,BHS
1804,35.1,BIH
1804,36.2,BLR
1804,26.5,BLZ
1804,33.0,BOL
1804,32.0,BRA
1804,32.1,BRB
1804,29.2,BRN
1804,28.8,BTN
1804,33.6,BWA
1804,30.0,CAF
1804,39.0,CAN
1804,38.0,CHE
1804,32.0,CHL
1804,32.0,CHN
1804,31.2,
1804,28.8,CMR
1804,31.6,
1804,32.7,
1804,32.0,COL
1804,32.1,COM
1804,33.8,CPV
1804,30.2,CRI
1804,32.7,CUB
1804,38.5,CYP
1804,35.0,CZE
1804,38.4,DEU
1804,29.9,DJI
1804,,DMA
1804,42.8,DNK
1804,29.9,DOM
1804,28.8,DZA
1804,32.9,ECU
1804,33.0,EGY
1804,30.2,ERI
1804,29.5,ESP
1804,34.4,EST
1804,29.7,ETH
1804,35.9,FIN
1804,26.1,FJI
1804,29.4,FRA
1804,26.7,
1804,30.6,GAB
1804,41.4,GBR
1804,31.9,GEO
1804,28.0,GHA
1804,29.5,GIN
1804,28.8,GMB
1804,32.0,GNB
1804,29.8,GNQ
1804,36.6,GRC
1804,31.4,GRD
1804,25.8,GTM
1804,31.1,GUY
1804,34.9,
1804,33.9,HND
1804,36.1,HRV
1804,29.0,HTI
1804,36.0,HUN
1804,30.0,IDN
1804,23.5,IND
1804,38.3,IRL
1804,25.6,IRN
1804,31.2,IRQ
1804,24.8,ISL
1804,32.0,ISR
1804,29.7,ITA
1804,34.2,JAM
1804,31.7,JOR
1804,36.4,JPN
1804,26.2,KAZ
1804,25.5,KEN
1804,23.9,
1804,35.0,KHM
1804,24.9,KIR
1804,,
1804,25.8,KOR
1804,26.0,KWT
1804,31.9,
1804,29.7,LBN
1804,31.1,LBR
1804,33.1,LBY
1804,28.0,
1804,32.6,LKA
1804,32.8,LSO
1804,28.9,LTU
1804,36.9,LUX
1804,33.0,LVA
1804,33.1,MAR
1804,,MCO
1804,33.1,MDA
1804,30.5,MDG
1804,32.6,MDV
1804,26.9,MEX
1804,,MHL
1804,36.1,MKD
1804,26.4,MLI
1804,28.7,MLT
1804,30.8,MMR
1804,35.4,MNE
1804,31.8,MNG
1804,30.3,MOZ
1804,32.0,MRT
1804,28.7,MUS
1804,30.3,MWI
1804,30.6,MYS
1804,32.4,NAM
1804,30.8,NER
1804,30.4,NGA
1804,25.4,NIC
1804,39.9,NLD
1804,40.5,NOR
1804,32.8,NPL
1804,,NRU
1804,34.0,NZL
1804,32.3,OMN
1804,25.8,PAK
1804,32.9,PAN
1804,35.7,PER
1804,30.9,PHL
1804,,PLW
1804,31.5,PNG
1804,35.9,POL
1804,26.0,
1804,35.6,PRT
1804,35.5,PRY
1804,32.1,
1804,30.8,QAT
1804,35.7,ROU
1804,29.6,RUS
1804,31.8,RWA
1804,32.1,SAU
1804,31.4,SDN
1804,25.2,SEN
1804,29.1,SGP
1804,25.1,SLB
1804,25.1,SLE
1804,28.7,SLV
1804,,SMR
1804,29.4,SOM
1804,35.5,SRB
1804,26.7,SSD
1804,31.0,STP
1804,32.9,SUR
1804,36.4,
1804,36.6,SVN
1804,39.7,SWE
1804,32.3,SWZ
1804,37.0,SYC
1804,31.1,SYR
1804,30.9,TCD
1804,31.3,TGO
1804,30.4,THA
1804,24.2,TJK
1804,24.0,TKM
1804,28.9,TLS
1804,28.2,TON
1804,32.9,TTO
1804,28.8,TUN
1804,35.0,TUR
1804,,TUV
1804,28.3,TWN
1804,32.2,TZA
1804,25.3,UGA
1804,36.6,UKR
1804,32.9,URY
1804,39.4,USA
1804,26.9,UZB
1804,26.0,VCT
1804,32.2,VEN
1804,32.0,VNM
1804,24.3,VUT
1804,25.4,WSM
1804,23.4,YEM
1804,33.5,ZAF
1804,32.6,ZMB
1804,33.7,ZWE
1805,28.2,AFG
1805,27.0,AGO
1805,35.4,ALB
1805,,AND
1805,30.7,ARE
1805,33.2,ARG
1805,34.0,ARM
1805,33.5,ATG
1805,34.0,AUS
1805,34.4,AUT
1805,29.2,AZE
1805,31.5,BDI
1805,40.0,BEL
1805,31.0,BEN
1805,29.2,BFA
1805,25.5,BGD
1805,36.0,BGR
1805,30.3,BHR
1805,35.2,BHS
1805,35.1,BIH
1805,36.2,BLR
1805,26.5,BLZ
1805,33.0,BOL
1805,32.0,BRA
1805,32.1,BRB
1805,29.2,BRN
1805,28.8,BTN
1805,33.6,BWA
1805,30.0,CAF
1805,39.0,CAN
1805,38.0,CHE
1805,32.0,CHL
1805,32.0,CHN
1805,31.2,
1805,28.8,CMR
1805,31.6,
1805,32.7,
1805,32.0,COL
1805,32.1,COM
1805,33.8,CPV
1805,30.2,CRI
1805,32.9,CUB
1805,38.5,CYP
1805,35.0,CZE
1805,38.4,DEU
1805,29.9,DJI
1805,,DMA
