pop,ISO3
2.36M,BLR
25.5k,BLZ
906k,BOL
2.65M,BRA
81.7k,BRB
2260,BRN
392k,BTN
120k,BWA
479k,CAF
525k,CAN
1.77M,CHE
771k,CHL
333M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
53.9k,CRI
316k,CUB
184k,CYP
5.52M,CZE
18.6M,DEU
22.8k,DJI
19.9k,DMA
1.01M,DNK
142k,DOM
2.52M,DZA
500k,ECU
3.56M,EGY
205k,ERI
11.6M,ESP
334k,EST
12M,ETH
831k,FIN
131k,FJI
29.2M,FRA
16.4k,
158k,GAB
11M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.26M,GRC
29.4k,GRD
475k,GTM
166k,GUY
20k,
130k,HND
905,
1.23M,HRV
519k,HTI
3.33M,HUN
16.2M,IDN
202M,IND
5.41M,IRL
6.05M,IRN
1.01M,IRQ
61.4k,ISL
210k,ISR
19.1M,ITA
309k,JAM
202k,JOR
28.3M,JPN
2.04M,KAZ
2.6M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
303k,LBN
314k,LBR
230k,LBY
24k,
5800,LIE
1.69M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.52M,MAR
7790,MCO
713k,MDA
1.52M,MDG
42.4k,MDV
5.23M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
5.69M,MMR
127k,MNE
602k,MNG
2.01M,MOZ
383k,MRT
62.4k,MUS
769k,MWI
287k,MYS
223k,NAM
853k,NER
12.1M,NGA
186k,NIC
2.01M,NLD
897k,NOR
3.99M,NPL
1830,NRU
187k,NZL
302k,OMN
13.2M,PAK
76.7k,PAN
1.28M,PER
2.37M,PHL
3880,PLW
755k,PNG
9.13M,POL
4.34M,
2.8M,PRT
279k,PRY
166k,
14.1k,QAT
5.58M,ROU
31.3M,RUS
928k,RWA
2.01M,SAU
4M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
229k,SLV
5490,SMR
990k,SOM
2.15M,SRB
1.03M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.48M,SWE
85.1k,SWZ
12.5k,SYC
1.26M,SYR
1.44M,TCD
446k,TGO
3.14M,THA
467k,TJK
367k,TKM
137k,TLS
18.6k,TON
22.3k,TTO
807k,TUN
9.79M,TUR
2500,TUV
2M,TWN
3M,TZA
2.46M,UGA
11.2M,UKR
55k,URY
6.23M,USA
1.92M,UZB
25.8k,VCT
957k,VEN
4.2M,VNM
27.8k,VUT
47.3k,WSM
2.59M,YEM
1.46M,ZAF
770k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
405k,ALB
2650,AND
40.2k,ARE
492k,ARG
413k,ARM
37k,ATG
216k,AUS
3.05M,AUT
880k,AZE
899k,BDI
3.28M,BEL
637k,BEN
1.67M,BFA
19.3M,BGD
2.24M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
916k,BOL
2.73M,BRA
81.7k,BRB
2260,BRN
392k,BTN
120k,BWA
479k,CAF
538k,CAN
1.78M,CHE
771k,CHL
335M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
